,Method,totalTime,SortOfSortedList,SortOfUnsortedList
5000,AddToFront,3,,
5000,AddToBack,0,,
5000,AddSorted,16,,
5000,SoftOfSortedList,25,25,36
10000,SoftOfSortedList,101,101,108
10000,AddToFront,6,,
10000,AddToBack,1,,
10000,AddSorted,45,,
15000,SoftOfSortedList,259,259,279
20000,SoftOfSortedList,568,568,550
15000,AddToFront,18,,
15000,AddToBack,1,,
15000,AddSorted,122,,
25000,SoftOfSortedList,648,648,846
30000,SoftOfSortedList,993,993,1175
20000,AddToFront,42,,
20000,AddToBack,1,,
20000,AddSorted,269,,
35000,SoftOfSortedList,1283,1283,1797
40000,SoftOfSortedList,1587,1587,2106
25000,AddToFront,56,,
25000,AddToBack,1,,
25000,AddSorted,357,,
45000,SoftOfSortedList,2057,2057,2637
50000,SoftOfSortedList,2857,2857,3541
30000,AddToFront,68,,
30000,AddToBack,1,,
30000,AddSorted,489,,
,SortOfUnsortedList,36,,
,SortOfUnsortedList,108,,
35000,AddToFront,108,,
35000,AddToBack,1,,
35000,AddSorted,761,,
,SortOfUnsortedList,279,,
,SortOfUnsortedList,550,,
40000,AddToFront,133,,
40000,AddToBack,1,,
40000,AddSorted,965,,
,SortOfUnsortedList,846,,
,SortOfUnsortedList,1175,,
45000,AddToFront,160,,
45000,AddToBack,1,,
45000,AddSorted,1193,,
,SortOfUnsortedList,1797,,
,SortOfUnsortedList,2106,,
50000,AddToFront,223,,
50000,AddToBack,1,,
50000,AddSorted,1595,,
,SortOfUnsortedList,2637,,
,SortOfUnsortedList,3541,,
