Size, Seed, Methods, ArrayListTotalTime, LinkedListTotalTime 
5000,88087987,AddToFront,5132913,3573624
5000,88087987,AddToBack,2184155,2014462
5000,88087987,sortOfUnsortedList,77631086,58845260
5000,88087987,sortOfSortedList,27269478,35197842
5000,88087987,linearSearchFindable,325127,383297
5000,88087987,binarySearchFindable,28699,27863
5000,88087987,linearSearchNotFindable,355406,354957
5000,88087987,binarySearchNotFindable,13902,52042
5000,4340590,AddToFront,2764177,1811082
5000,4340590,AddToBack,416392,492192
5000,4340590,sortOfUnsortedList,25146867,26757640
5000,4340590,sortOfSortedList,24245520,28032889
5000,4340590,linearSearchFindable,287100,299198
5000,4340590,binarySearchFindable,10472,13126
5000,4340590,linearSearchNotFindable,362689,505771
5000,4340590,binarySearchNotFindable,10827,12765
5000,23451996,AddToFront,1684226,1584677
5000,23451996,AddToBack,360510,392977
5000,23451996,sortOfUnsortedList,22298258,25544425
5000,23451996,sortOfSortedList,35952613,29895508
5000,23451996,linearSearchFindable,311973,272526
5000,23451996,binarySearchFindable,12688,10853
5000,23451996,linearSearchNotFindable,608941,563560
5000,23451996,binarySearchNotFindable,17549,15700
10000,88087987,AddToFront,6730563,7940691
10000,88087987,AddToBack,720860,749204
10000,88087987,sortOfUnsortedList,105771297,114437277
10000,88087987,sortOfSortedList,101246217,97339443
10000,88087987,linearSearchFindable,691802,455735
10000,88087987,binarySearchFindable,11939,14480
10000,88087987,linearSearchNotFindable,426588,443138
10000,88087987,binarySearchNotFindable,43711,36898
10000,4340590,AddToFront,14966176,7515680
10000,4340590,AddToBack,724816,797480
10000,4340590,sortOfUnsortedList,107731595,102973977
10000,4340590,sortOfSortedList,105961474,102790964
10000,4340590,linearSearchFindable,429739,1853263
10000,4340590,binarySearchFindable,35049,38112
10000,4340590,linearSearchNotFindable,41667,42306
10000,4340590,binarySearchNotFindable,1926113,50144
10000,23451996,AddToFront,7137126,6572197
10000,23451996,AddToBack,664238,604425
10000,23451996,sortOfUnsortedList,120217389,106197565
10000,23451996,sortOfSortedList,112510199,112252702
10000,23451996,linearSearchFindable,41715,33714
10000,23451996,binarySearchFindable,110124,37891
10000,23451996,linearSearchNotFindable,26162,20238
10000,23451996,binarySearchNotFindable,13387,13267
15000,88087987,AddToFront,45729614,20049917
15000,88087987,AddToBack,1648978,862204
