step,TotalCars,WaitingCars,WaitTime
0,0,0,0
1,2,0,0
2,3,0,0
3,9,0,0
4,12,0,0
5,14,0,0
6,18,0,0
7,25,0,0
8,30,0,0
9,39,0,0
10,51,0,0
11,50,0,0
12,45,0,0
13,41,0,0
14,37,0,0
15,28,4,0
16,32,7,0
17,28,7,0
18,31,11,0
19,30,15,0
20,33,21,0
21,36,25,0
22,39,27,0
23,43,31,0
24,51,36,0
25,53,41,0
26,54,43,0
27,57,46,0
28,58,51,0
29,65,53,0
30,66,52,0
31,64,53,0
32,65,50,0
33,63,50,0
34,62,51,0
35,59,52,0
36,62,53,0
37,65,55,0
38,63,52,0
39,64,54,0
40,62,53,0
41,64,53,0
42,64,51,0
43,61,51,10
44,62,49,16
45,61,47,10
46,59,46,0
47,57,47,0
48,53,47,0
49,54,46,0
50,58,49,14
51,57,50,5
52,60,51,7.333333333
53,64,51,10.33333333
54,61,48,12.5
55,61,45,0
56,63,47,0
57,58,47,16.33333333
58,56,45,0
59,56,44,22
60,55,43,21
61,54,43,13
62,53,41,0
63,53,42,9.666666667
64,51,38,0
65,47,38,2
66,45,38,19
67,48,34,0
68,51,35,0
69,50,36,0
70,48,35,16
71,51,35,22
72,48,33,14
73,44,31,11
74,43,31,9
75,44,30,0
76,45,30,5
77,42,28,28
78,39,29,15
79,37,28,0
80,33,28,10.5
81,29,26,6
82,31,27,0
83,35,28,0
84,33,25,29
85,32,24,0
86,39,28,35
87,39,30,21
88,36,28,0
89,40,29,0
90,42,30,34
91,46,31,44
92,45,31,30
93,45,34,4
94,44,33,0
95,43,36,0
96,43,35,0
97,38,35,13.5
98,39,34,21
99,39,32,0
100,41,34,0
101,42,35,0
102,41,37,0
103,40,36,1.5
104,42,34,0
105,44,34,53
106,46,35,29
107,46,32,0
108,45,33,0
109,43,32,1
110,42,31,0
111,41,33,0
112,37,33,0
113,36,32,0
114,37,32,0
115,39,32,0
116,40,33,24
117,41,35,11.5
118,40,33,0
119,41,31,0
120,42,32,0
121,38,31,0
122,37,29,0
123,35,29,8.5
124,34,27,24
125,38,28,20
126,37,27,21
127,40,29,0
128,39,30,20
129,40,29,0
130,40,31,0
131,38,28,13
132,37,26,25
133,36,25,0
134,36,27,15
135,35,27,11
136,34,26,0
137,32,27,14.66666667
138,32,25,34
139,32,24,0
140,33,24,0
141,30,24,0
142,33,26,17
143,30,25,0
144,30,25,11
145,33,23,0
146,33,23,4
147,33,23,0
148,30,23,12
149,33,24,0
150,34,24,0
151,29,25,0
152,28,24,0
153,29,24,0
154,27,23,0
155,27,23,11
156,29,23,24.5
157,29,23,0
158,32,21,13.5
159,29,19,0
160,30,19,0
161,32,21,0
162,31,19,0
163,30,19,0
164,26,20,0
165,25,19,10.5
166,27,20,0
167,25,20,0
168,26,22,0
169,27,21,14
170,27,21,28
171,29,18,0
172,32,21,0
173,33,21,0
174,33,22,0
175,30,23,2
176,27,24,0
177,28,25,0
178,28,25,22
179,29,25,0
180,32,25,0
181,29,24,11
182,30,23,0
183,33,25,0
184,32,22,0
185,35,23,0
186,33,23,0
187,32,25,0
188,32,25,9
189,28,23,0
190,28,23,0
191,29,23,0
192,26,23,40
193,26,22,15
194,24,20,0
195,24,20,0
196,23,18,0
197,26,15,12
198,27,15,9
199,26,17,13
200,25,16,0
201,26,16,0
202,23,17,16
203,25,15,0
204,25,18,0
205,26,19,0
206,23,18,0
207,25,20,24
208,25,19,0
209,24,19,0
210,23,19,0
211,24,19,0
212,25,21,0
213,25,21,0
214,25,21,0
215,25,22,0
216,24,22,0
217,24,22,1
218,24,17,0
219,25,18,0
220,25,17,0
221,22,13,0
222,21,13,17
223,24,13,0
224,22,16,0
225,21,16,20
226,22,17,0
227,22,17,0
228,19,17,0
229,20,16,0
230,23,17,0
231,27,17,5
232,25,18,0
233,20,19,0
234,23,19,7
235,22,18,17
236,22,16,0
237,22,14,0
238,22,16,0
239,21,16,2
240,21,14,0
241,19,15,0
242,18,15,20.5
243,18,13,0
244,18,12,0
245,18,12,0
246,19,10,0
247,15,9,0
248,16,11,0
249,16,13,0
250,15,14,18
251,15,13,24
252,19,12,0
253,21,14,0
254,22,12,0
255,23,15,0
256,22,17,3
257,21,15,0
258,20,15,0
259,19,17,0
260,17,17,0
261,18,16,0
262,20,15,0
263,20,15,0
264,20,14,0
265,20,12,0
266,19,12,0
267,16,11,0
268,17,11,0
269,17,9,26
270,17,9,0
271,18,9,0
272,14,10,0
273,16,9,0
274,14,10,0
275,14,10,0
276,14,10,0
277,17,13,12
278,14,13,0
279,14,13,0
280,15,14,13
281,16,13,0
282,14,13,0
283,14,13,0
284,16,13,0
285,18,14,0
286,16,13,11
287,19,13,0
288,17,13,0
289,15,13,0
290,14,12,0
291,13,11,0
292,13,11,0
293,14,10,0
294,12,9,26
295,13,6,19
296,11,5,0
297,9,5,0
298,9,3,0
299,9,2,0
300,10,1,0
301,10,4,0
302,11,5,0
303,9,6,0
304,9,6,0
305,8,6,0
306,8,6,0
307,11,8,0
308,11,8,4
309,13,9,0
310,13,9,0
311,12,9,0
312,13,10,0
313,13,10,0
314,12,11,0
315,12,9,0
316,12,9,0
317,14,9,0
318,13,10,0
319,11,10,0
320,11,9,0
321,11,7,0
322,12,8,0
