,Seed 1,,,Seed 2,,,Seed 3,,,Seed 4,,,Seed 5,,,Average,,,
step,TotalCars,WaitingCars,WaitTime,TotalCars,WaitingCars,WaitTime,TotalCars,WaitingCars,WaitTime,TotalCars,WaitingCars,WaitTime,TotalCars,WaitingCars,WaitTime,TotalCars,WaitingCars,WaitTime,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,
2,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,1.8,0,0,
3,7,0,0,5,0,0,8,0,0,6,0,0,9,0,0,7,0,0,
4,14,0,0,9,0,0,17,0,0,12,0,0,12,0,0,12.8,0,0,
5,18,0,0,17,0,0,30,0,0,19,0,0,14,0,0,19.6,0,0,
6,24,0,0,27,0,0,32,0,0,26,0,0,18,0,0,25.4,0,0,
7,28,0,0,36,0,0,33,0,0,35,0,0,25,0,0,31.4,0,0,
8,37,0,0,40,0,0,34,0,0,41,0,0,30,0,0,36.4,0,0,
9,43,0,0,47,0,0,39,0,0,40,0,0,39,0,0,41.6,0,0,
10,44,0,0,51,0,0,33,0,0,42,0,0,51,0,0,44.2,0,0,
11,41,0,0,43,0,0,32,1,0,48,0,0,50,0,0,42.8,0.2,0,2.843696345
12,41,1,0,36,1,0,38,2,0,41,0,0,45,0,0,40.2,0.8,0,
13,42,1,0,36,2,0,41,3,0,39,0,0,41,0,0,39.8,1.2,0,
14,37,1,0,30,3,0,45,5,0,33,0,0,37,0,0,36.4,1.8,0,
15,31,2,0,26,6,0,36,5,0,30,3,0,28,4,0,30.2,4,0,
16,29,3,0,33,8,0,33,5,0,30,5,0,32,7,0,31.4,5.6,0,
17,26,6,0,33,10,0,30,7,0,30,5,0,28,7,0,29.4,7,0,
18,31,12,0,37,11,0,31,10,0,29,6,0,31,11,0,31.8,10,0,
19,30,16,0,36,14,0,31,13,0,27,9,0,30,15,0,30.8,13.4,0,
20,30,18,0,40,20,0,32,17,0,25,12,0,33,21,0,32,17.6,0,
21,37,23,0,39,21,0,31,19,0,31,17,0,36,25,0,34.8,21,0,
22,38,27,0,40,26,0,33,23,0,34,21,0,39,27,0,36.8,24.8,0,
23,49,37,0,38,28,0,42,30,0,39,25,0,43,31,0,42.2,30.2,0,
24,50,38,0,40,32,0,45,32,0,41,29,0,51,36,0,45.4,33.4,0,
25,58,44,0,46,35,0,50,36,0,39,30,0,53,41,0,49.2,37.2,0,
26,59,46,0,47,36,0,53,40,0,45,36,0,54,43,0,51.6,40.2,0,
27,62,51,0,56,42,0,56,44,0,51,42,0,57,46,0,56.4,45,0,
28,63,55,0,57,47,0,59,49,0,53,44,0,58,51,0,58,49.2,0,
29,67,59,0,63,49,0,60,54,0,58,45,0,65,53,0,62.6,52,0,
30,69,61,0,59,48,0,60,55,0,58,45,0,66,52,0,62.4,52.2,0,
31,70,62,0,64,50,0,63,57,0,57,46,0,64,54,0,63.6,53.8,0,
32,70,62,0,60,52,0,69,61,0,58,49,0,64,53,0,64.2,55.4,0,
33,71,60,0,61,54,0,68,60,0,58,51,0,63,52,0,64.2,55.4,0,
34,78,67,0,62,55,0,69,62,0,61,55,0,62,52,0,66.4,58.2,0,
35,76,67,0,62,56,0,70,65,0,60,54,0,61,53,0,65.8,59,0,
36,75,67,0,61,54,0,70,66,0,58,51,0,65,54,0,65.8,58.4,0,
37,74,60,0,61,55,0,73,66,0,60,52,0,66,55,0,66.8,57.6,0,
38,71,60,0,63,56,0,74,69,0,60,52,0,64,54,0,66.4,58.2,0,
39,71,58,8,64,60,6,73,69,0,61,50,0,64,58,0,66.6,59,2.8,
40,70,58,0,65,61,0,74,67,8.5,62,50,0,64,58,0,67,58.8,1.7,
41,68,56,0,64,61,0,75,65,0,60,49,0,64,58,0,66.2,57.8,0,
42,65,56,0,65,58,11.5,76,64,0,56,48,0,64,57,14,65.2,56.6,5.1,
43,62,55,0,65,57,12,79,63,0,56,47,0,61,55,8,64.6,55.4,4,
44,61,55,10.5,72,58,0,75,63,12,60,48,11,63,54,0,66.2,55.6,6.7,
45,61,55,12,73,58,0,69,61,12,59,46,11,63,54,12.5,65,54.8,9.5,
46,64,56,0,73,62,11,66,60,0,57,45,9,64,53,0,64.8,55.2,4,
47,65,57,2,71,61,7,64,60,16,56,44,8,60,54,6,63.2,55.2,7.8,
48,62,57,10,71,61,10,65,59,13,53,44,12,61,53,9.5,62.4,54.8,10.9,
49,63,56,0,68,58,10,66,59,7,53,46,9,58,51,0,61.6,54,5.2,
50,63,57,12,66,55,0,66,59,3,54,45,11,57,52,13,61.2,53.6,7.8,
51,66,57,0,66,55,0,65,59,0,52,43,0,58,49,13,61.4,52.6,2.6,
52,66,57,13.5,62,55,4,66,59,11.5,53,41,7.5,64,47,4,62.2,51.8,8.1,
53,67,55,13.25,60,55,7,64,57,12.25,54,39,6.666666667,64,46,0,61.8,50.4,7.833333333,
54,64,53,10.2,60,54,0,70,56,8,51,36,0,64,48,6,61.8,49.4,4.84,
55,68,49,0,59,55,2,69,57,0,50,39,16,62,51,0,61.6,50.2,3.6,
56,67,50,4,60,55,15.5,70,57,16.5,46,40,15,63,51,24,61.2,50.6,15,
57,68,51,0,60,52,16.33333333,68,54,14,47,38,0,62,51,0,61,49.2,6.066666667,
58,63,51,0,61,48,8,68,54,12,47,40,18,58,51,13,59.4,48.8,10.2,
59,60,50,18,64,48,0,64,53,0,49,40,24,57,51,18.33333333,58.8,48.4,12.06666667,
