step,TotalCars,WaitingCars,WaitTime
0,0,0,0
1,1,0,0
2,1,0,0
3,5,0,0
4,9,0,0
5,17,0,0
6,27,0,0
7,36,0,0
8,40,0,0
9,47,0,0
10,51,0,0
11,43,0,0
12,36,1,0
13,36,2,0
14,30,3,0
15,26,6,0
16,33,8,0
17,33,10,0
18,37,11,0
19,36,14,0
20,40,20,0
21,39,21,0
22,40,26,0
23,39,28,0
24,41,32,0
25,48,35,0
26,49,36,0
27,58,42,0
28,59,47,0
29,66,50,0
30,65,50,0
31,70,51,0
32,69,52,0
33,70,56,0
34,72,57,0
35,72,59,0
36,73,57,0
37,73,58,0
38,77,61,0
39,79,65,0
40,80,66,7
41,80,64,0
42,82,64,13
43,83,62,11
44,87,64,13.5
45,90,62,4
46,90,64,9
47,91,64,0
48,88,64,0
49,87,64,11.33333333
50,90,61,0
51,84,62,10.5
52,83,60,0
53,81,61,16
54,79,60,15
55,78,59,0
56,82,59,24
57,83,60,25
58,79,59,20
59,80,57,19
60,84,58,0
61,82,59,12
62,83,59,22
63,80,58,22
64,83,58,0
65,83,60,26
66,84,59,14.5
67,85,59,19
68,85,58,0
69,84,59,26.5
70,84,59,0
71,84,60,8
72,86,59,15
73,85,59,32
74,84,59,29.33333333
75,85,57,34
76,87,58,35
77,83,57,0
78,81,57,15
79,80,56,0
80,84,59,0
81,85,59,19
82,84,57,0
83,86,58,39
84,86,58,0
85,86,58,30
86,83,56,21
87,84,56,40
88,82,54,24
89,86,53,0
90,83,55,0
91,83,57,0
92,82,57,15.5
93,81,55,0
94,83,55,39.33333333
95,82,53,39
96,83,53,0
97,85,53,0
98,84,54,0
99,84,55,0
100,86,56,13
101,86,56,36
102,86,54,16
103,87,55,53.5
104,85,53,0
105,85,52,0
106,82,52,0
107,85,52,46
108,85,51,12
109,84,51,39
110,85,51,43.5
111,85,50,0
112,85,50,13
113,85,49,0
114,86,51,26
115,84,48,64
116,81,47,0
117,81,47,77
118,78,46,0
119,79,47,27
120,78,47,0
121,80,49,32
122,80,49,19
123,80,48,56.5
124,81,48,44
125,83,49,0
126,85,50,0
127,85,51,0
128,87,53,72
129,84,52,69
130,86,52,0
131,88,52,78
132,88,53,11.5
133,89,53,0
134,89,54,76
135,91,53,0
136,92,56,22
137,92,56,83.5
138,92,54,0
139,90,54,8
140,87,53,56
141,86,51,46
142,89,51,83
143,87,49,0
144,87,49,0
145,86,50,75
146,84,49,0
147,85,50,77
148,86,49,0
149,85,50,0
150,85,50,0
151,87,51,0
152,86,51,25
153,85,48,103
154,84,47,35
155,84,47,12
156,85,46,18
157,88,44,0
158,90,44,70
159,90,44,15
160,88,45,0
161,86,46,62
162,85,44,81
163,84,44,0
164,82,44,0
165,83,44,0
166,86,47,0
167,87,48,0
168,88,52,29
169,86,51,24
170,88,51,15
171,88,50,0
172,88,51,0
173,87,51,63.5
174,89,49,23
175,89,48,59
176,89,47,31.33333333
177,87,44,0
178,84,44,98
179,85,43,46
180,85,42,0
181,85,43,0
182,82,42,0
183,82,42,0
184,82,42,35
185,83,41,13
186,84,41,0
187,88,42,114
188,87,43,39
189,87,42,36
190,86,40,10.5
191,85,38,0
192,86,40,100
193,88,41,21.5
194,87,40,0
195,86,41,82
196,86,41,76
197,84,40,0
198,83,40,0
199,81,41,0
200,82,42,0
201,83,44,0
202,85,44,1
203,86,43,0
204,87,44,20
205,89,44,31
206,89,47,0
207,88,47,71.5
208,90,46,0
209,88,46,0
210,90,48,14
211,92,49,23
212,92,47,99.5
213,92,44,96
214,90,43,0
215,90,44,0
216,89,44,0
217,86,44,0
218,87,44,13
219,86,43,0
220,88,42,8
221,89,40,34
222,88,37,0
223,86,36,0
224,87,36,18
225,85,35,0
226,81,35,97
227,81,35,8.5
228,81,33,85
229,80,33,105
230,78,32,0
231,81,34,0
232,84,36,0
233,84,39,0
234,84,39,0
235,85,40,62
236,87,39,0
237,87,40,41
238,88,39,13
239,86,38,38.5
240,88,37,17.5
241,89,36,13
242,86,35,60.5
243,86,33,24
244,84,32,84
245,85,31,0
246,84,31,0
247,86,31,0
248,87,31,0
249,86,31,19
250,83,29,0
251,82,29,0
252,79,29,0
253,78,29,56
254,77,28,35
255,78,28,38
256,79,27,62.5
257,81,26,30.5
258,83,24,44
259,81,22,0
260,81,25,33
261,83,25,0
262,80,25,0
263,81,25,0
264,82,26,0
265,86,29,0
266,87,29,0
267,87,29,23
268,89,31,0
269,92,31,0
270,92,31,22
271,93,30,25
272,93,30,65.5
273,93,28,0
274,92,28,57
275,92,25,24
276,91,24,0
277,89,24,0
278,88,24,0
279,87,25,0
280,88,26,0
281,88,27,31
282,89,27,0
283,90,27,0
284,90,26,0
285,91,28,0
286,93,28,8
287,95,29,0
288,95,28,71
289,93,26,0
290,93,27,60.5
291,94,24,0
292,91,24,0
293,90,24,0
294,87,23,0
295,86,22,14
296,86,21,0
297,87,22,14
298,89,22,0
299,91,23,0
300,88,22,0
301,87,22,0
302,87,21,0
303,88,22,0
304,87,22,60
305,87,20,0
306,87,20,27
307,89,19,0
308,86,19,102
309,87,19,0
310,86,20,10
311,89,20,19
312,89,19,0
313,89,20,3
314,90,19,0
315,91,21,0
316,92,22,0
317,91,22,0
318,90,22,2
319,89,21,0
320,89,21,0
321,89,21,0
322,88,22,0
323,90,23,0
324,91,24,65
325,92,21,0
326,91,20,50
327,88,18,0
328,89,17,0
329,88,17,0
330,87,16,24
331,85,14,0
332,83,15,0
333,82,15,17
334,83,15,4
335,86,17,0
336,87,18,0
337,92,20,0
338,94,21,0
339,95,21,0
340,92,21,62.5
341,92,19,0
342,94,19,0
343,92,19,0
344,90,19,8.666666667
345,90,17,0
346,89,17,0
347,88,17,0
348,87,16,19
349,87,16,0
350,90,18,0
351,91,19,0
352,90,20,0
353,89,21,0
354,91,20,49.33333333
355,91,16,0
356,91,17,0
357,94,17,0
358,93,17,4
359,93,16,0
360,91,16,0
361,88,17,0
362,87,17,0
363,87,17,0
364,88,17,0
365,88,17,0
366,89,19,0
367,89,19,0
368,91,19,95
369,91,18,0
370,93,18,0
371,92,17,0
372,91,18,20
373,91,17,19
374,92,16,19
375,92,15,0
376,92,15,0
377,92,15,0
378,90,15,9
379,90,15,0
380,89,15,0
381,91,15,0
382,91,15,0
383,93,15,0
384,93,17,0
385,95,18,8
386,96,15,20
387,96,13,25
388,94,12,61.5
389,93,11,0
390,92,10,0
391,90,10,0
392,89,10,0
393,90,10,0
394,88,10,0
395,87,10,0
396,87,11,0
397,88,12,0
398,89,13,0
399,91,14,0
400,92,14,0
401,94,14,0
402,97,15,73
403,97,13,0
404,96,14,4
405,95,12,6
406,93,11,0
407,92,11,35
408,91,10,0
409,89,10,10
410,89,8,0
411,90,9,0
412,90,10,0
413,91,10,0
414,90,10,0
415,90,10,0
416,90,10,0
417,93,12,0
418,92,12,5
419,94,11,7
420,94,10,46
421,95,9,0
422,94,10,0
423,94,11,0
424,94,12,0
425,93,12,12
426,93,12,0
427,93,12,0
428,94,12,0
429,96,12,0
430,95,13,0
431,96,13,0
432,96,14,17
433,96,12,0
434,97,12,42
435,96,11,0
436,96,11,0
437,94,10,0
438,94,10,0
439,94,10,0
440,94,10,0
441,93,10,0
442,92,10,0
443,94,11,0
444,94,10,0
445,93,10,9
446,94,7,0
447,94,8,0
448,92,8,0
449,92,7,0
450,92,7,0
451,90,7,0
452,89,7,17.5
453,90,4,0
454,91,5,0
455,88,6,0
456,87,6,0
457,87,6,0
458,88,6,0
459,93,9,0
460,95,10,0
461,94,10,0
462,93,11,0
463,93,11,3
464,93,10,0
465,93,10,14
466,95,9,8.5
467,95,8,0
468,95,8,0
469,94,9,0
470,95,9,0
471,94,9,0
472,93,9,0
473,93,8,0
474,92,9,0
475,91,7,0
476,91,7,0
477,91,7,0
478,91,5,0
479,91,5,0
480,92,5,0
481,94,7,0
482,93,7,0
483,94,7,9
484,94,6,0
485,94,6,0
486,92,6,0
487,90,5,0
488,90,4,0
489,93,4,0
490,93,5,0
491,93,7,0
492,92,6,0
493,93,6,0
494,94,6,0
495,93,7,0
496,94,7,0
497,93,6,0
498,97,6,0
499,95,5,0
500,95,5,0
501,93,5,0
502,91,5,0
503,90,5,0
504,90,5,6
505,92,4,2
506,92,3,0
507,92,3,0
508,92,3,0
509,90,2,0
510,92,2,0
511,92,3,0
512,93,3,0
513,92,3,0
514,92,3,0
515,93,5,0
516,94,5,0
517,95,5,0
518,95,6,10
519,94,5,0
520,94,5,0
521,95,5,0
522,95,5,0
523,96,5,0
524,96,6,0
525,98,7,0
526,97,7,0
527,97,7,0
528,96,7,0
529,96,6,0
530,97,6,0
531,97,6,0
532,97,5,0
533,97,5,0
534,97,5,0
535,95,5,0
536,95,6,0
537,95,5,0
538,95,4,4
539,95,3,0
540,95,3,0
541,94,2,0
542,93,2,0
543,93,2,0
544,93,2,0
545,94,2,0
546,95,3,0
547,94,3,0
548,94,3,0
549,95,3,0
550,95,3,0
551,96,3,0
552,95,3,0
553,96,4,0
554,97,4,0
555,97,5,0
556,96,5,0
557,96,5,0
558,95,5,3
559,95,4,0
560,95,4,0
561,96,4,0
562,98,5,0
563,98,5,0
564,97,5,0
565,98,4,0
566,98,3,0
567,97,3,0
568,97,3,0
569,96,3,0
570,97,4,0
571,97,4,0
572,97,4,0
573,97,3,0
574,98,4,0
575,98,3,0
576,97,3,0
577,97,3,0
578,97,3,0
579,98,3,0
580,98,3,0
581,98,4,4
582,97,3,0
583,97,3,0
584,97,3,0
585,98,4,0
586,97,4,0
587,97,4,0
588,97,3,0
589,97,3,0
590,97,3,5
591,98,3,0
592,98,3,0
593,98,3,0
594,97,4,0
595,97,3,0
596,97,3,0
597,98,3,0
598,97,3,0
599,97,4,0
600,97,4,0
601,97,4,0
602,97,4,0
603,97,3,0
604,97,3,0
605,97,2,0
606,97,2,0
607,98,2,0
608,97,2,1
609,96,1,0
610,96,1,0
611,96,1,0
612,96,1,0
613,96,1,0
614,96,1,0
615,99,2,0
616,98,2,0
617,96,3,0
618,96,3,0
619,96,3,0
620,96,3,0
621,96,3,0
622,96,3,0
623,97,3,0
624,98,3,0
625,99,3,0
626,99,4,0
627,99,4,0
628,99,4,0
629,99,4,0
630,99,4,0
631,99,3,0
632,99,3,0
633,100,1,0
634,100,1,0
635,100,1,0
636,98,1,0
637,97,1,0
638,97,1,0
639,97,1,0
640,97,0,0
641,97,0,0
642,97,0,0
643,98,0,0
644,98,0,0
645,98,2,0
646,98,2,0
647,98,2,0
648,98,2,0
649,98,2,0
650,98,2,0
651,99,3,0
652,100,3,0
653,100,3,0
654,100,3,0
655,99,3,0
656,99,3,0
657,99,3,0
658,99,3,0
659,99,1,0
660,99,1,0
661,99,1,0
662,99,2,0
663,99,2,0
664,98,2,0
665,98,1,0
666,98,1,0
667,98,1,0
668,97,1,0
669,97,1,0
670,97,1,0
671,97,1,0
672,97,1,0
673,97,1,0
674,97,1,0
675,97,1,0
676,99,1,0
677,99,1,0
678,98,2,0
679,98,2,0
680,98,2,0
681,99,2,0
682,99,1,0
683,98,1,0
684,98,1,0
685,97,1,0
686,98,2,0
687,98,2,0
688,98,2,0
689,98,2,0
690,98,2,0
691,98,2,0
692,98,2,0
693,100,3,0
694,100,3,0
695,100,3,4
696,100,2,0
697,100,2,0
698,99,2,0
699,98,2,0
700,98,2,0
701,98,2,0
702,98,2,0
703,98,2,0
704,98,2,0
705,98,2,0
706,98,1,0
707,98,1,0
708,97,1,0
709,98,1,0
710,99,2,0
711,99,2,0
712,98,2,0
713,98,1,0
714,98,1,0
715,97,1,0
716,97,1,0
717,97,1,0
718,97,1,0
719,98,1,0
720,98,1,0
721,98,1,0
722,98,2,0
723,99,3,0
724,99,3,0
725,99,3,0
726,100,3,0
727,100,3,0
728,100,2,0
729,99,2,0
730,99,2,0
731,98,2,0
732,98,2,0
733,98,2,0
734,98,2,0
735,98,2,0
736,98,1,0
737,98,1,0
738,98,1,0
739,97,1,0
740,98,2,0
741,98,1,0
742,98,1,0
743,97,1,0
744,97,1,0
745,99,1,0
746,99,1,0
747,99,3,0
748,99,3,0
749,99,3,0
750,99,3,0
751,99,3,0
752,99,3,0
753,99,3,0
754,100,3,0
755,100,3,0
756,100,2,0
757,100,2,0
758,99,2,0
759,99,2,0
760,99,2,0
761,99,0,0
762,98,0,0
763,98,0,0
764,96,0,0
765,96,0,0
766,96,0,0
767,96,0,0
768,96,0,0
769,96,0,0
